ColumnName
MagpieData range GSbandgap
MagpieData mean GSbandgap
MagpieData avg_dev GSbandgap
MagpieData mode GSbandgap
MagpieData minimum GSmagmom
MagpieData maximum GSmagmom
MagpieData range GSmagmom
MagpieData mean GSmagmom
MagpieData avg_dev GSmagmom
MagpieData mode GSmagmom
MagpieData minimum SpaceGroupNumber
MagpieData maximum SpaceGroupNumber
MagpieData range SpaceGroupNumber
MagpieData mean SpaceGroupNumber
MagpieData avg_dev SpaceGroupNumber
MagpieData mode SpaceGroupNumber
H fraction
He fraction
Li fraction
Be fraction
B fraction
C fraction
N fraction
O fraction
F fraction
Ne fraction
Na fraction
Mg fraction
Al fraction
Si fraction
P fraction
S fraction
Cl fraction
Ar fraction
K fraction
Ca fraction
Sc fraction
Ti fraction
V fraction
Cr fraction
Mn fraction
Fe fraction
Co fraction
Ni fraction
Cu fraction
Zn fraction
Ga fraction
Ge fraction
As fraction
Se fraction
Br fraction
Kr fraction
Rb fraction
Sr fraction
Y fraction
Zr fraction
Nb fraction
Mo fraction
Tc fraction
Ru fraction
Rh fraction
Pd fraction
Ag fraction
Cd fraction
In fraction
Sn fraction
Sb fraction
Te fraction
I fraction
Xe fraction
Cs fraction
Ba fraction
La fraction
Ce fraction
Pr fraction
Nd fraction
Pm fraction
Sm fraction
Eu fraction
Gd fraction
Tb fraction
Dy fraction
Ho fraction
Er fraction
Tm fraction
Yb fraction
Lu fraction
Hf fraction
Ta fraction
W fraction
Re fraction
Os fraction
Ir fraction
Pt fraction
Au fraction
Hg fraction
Tl fraction
Pb fraction
Bi fraction
Po fraction
At fraction
Rn fraction
Fr fraction
Ra fraction
Ac fraction
Th fraction
Pa fraction
U fraction
Np fraction
Pu fraction
Am fraction
Cm fraction
Bk fraction
Cf fraction
Es fraction
Fm fraction
Md fraction
No fraction
Lr fraction
Rf fraction
Db fraction
Sg fraction
Bh fraction
Hs fraction
Mt fraction
Ds fraction
Rg fraction
Cn fraction
Nh fraction
Fl fraction
Mc fraction
Lv fraction
Ts fraction
Og fraction
mean AtomicWeight
mean Column
mean Row
range Number
mean Number
range AtomicRadius
mean AtomicRadius
range Electronegativity
mean Electronegativity
avg s valence electrons
avg p valence electrons
avg d valence electrons
avg f valence electrons
frac s valence electrons
frac p valence electrons
frac d valence electrons
frac f valence electrons
HOMO_energy
LUMO_energy
gap_AO
mean simul. packing efficiency
mean abs simul. packing efficiency
dist from 1 clusters |APE| < 0.010
dist from 3 clusters |APE| < 0.010
dist from 5 clusters |APE| < 0.010
density
vpa
packing fraction
mean ordering parameter shell 1
mean ordering parameter shell 2
mean ordering parameter shell 3
max packing efficiency
structural complexity per atom
structural complexity per cell
spacegroup_num
crystal_system
crystal_system_int
is_centrosymmetric
n_symmetry_ops
dimensionality
